ts_wall,stm32_timestamp,pixhawk_timestamp,thrust1,thrust2,thrust3,thrust4,thrust5,thrust6,voltage,current,rpm,temperature,torque,load,baro_t,baro_p,_FORMAT
1753881538.190314,471.0360107421875,234.12100219726562,1689.0,1564.0,1874.0,0.0,2857.0,1115.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4763793945312,<16f
1753881538.2416594,471.0780029296875,234.12100219726562,1689.0,1564.0,1874.0,0.0,2853.0,1112.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4763793945312,<16f
1753881538.293473,471.13299560546875,234.625,1677.0,1562.0,1887.0,0.0,2853.0,1112.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.0099983215332,970.4697265625,<16f
1753881538.3449516,471.17401123046875,234.625,1677.0,1562.0,1887.0,0.0,2847.0,1098.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.0099983215332,970.4697265625,<16f
1753881538.3964324,471.2149963378906,234.625,1677.0,1560.0,1882.0,0.0,2847.0,1098.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.0099983215332,970.4697265625,<16f
1753881538.448173,471.2969970703125,234.625,1677.0,1572.0,1876.0,0.0,2854.0,1100.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.0099983215332,970.4697265625,<16f
1753881538.4992712,471.3429870605469,234.625,1678.0,1572.0,1876.0,0.0,2856.0,1109.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.0099983215332,970.4697265625,<16f
1753881538.5503798,471.3840026855469,234.625,1678.0,1582.0,1871.0,0.0,2856.0,1109.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.0099983215332,970.4697265625,<16f
1753881538.6013727,471.42498779296875,234.625,1666.0,1582.0,1871.0,0.0,2856.0,1109.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.0099983215332,970.4697265625,<16f
1753881538.6526783,471.5069885253906,234.625,1662.0,1569.0,1880.0,0.0,2859.0,1109.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.0099983215332,970.4697265625,<16f
