ts_wall,stm32_timestamp,pixhawk_timestamp,thrust1,thrust2,thrust3,thrust4,thrust5,thrust6,voltage,current,rpm,temperature,torque,load,baro_t,baro_p,_FORMAT,throttle_pct
1753943717.1200612,7663.56884765625,7488.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,2.9000000953674316,2914.0,30.0,nan,nan,45.369998931884766,972.282470703125,<16f,30
1753943717.170894,7663.60986328125,7488.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,2.9000000953674316,2914.0,30.0,nan,nan,45.369998931884766,972.282470703125,<16f,30
1753943717.221746,7663.65087890625,7488.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,2.9000000953674316,2914.0,30.0,nan,nan,45.369998931884766,972.282470703125,<16f,30
1753943717.2727077,7663.73291015625,7488.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,2.9000000953674316,2914.0,30.0,nan,nan,45.369998931884766,972.282470703125,<16f,30
1753943717.3241022,7663.77392578125,7488.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,2.9000000953674316,2914.0,30.0,nan,nan,45.369998931884766,972.282470703125,<16f,30
1753943717.375028,7663.81494140625,7488.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,2.9000000953674316,2914.0,30.0,nan,nan,45.369998931884766,972.282470703125,<16f,30
1753943717.425889,7663.865234375,7489.1240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,2.9000000953674316,2914.0,30.0,nan,nan,45.36000061035156,972.2134399414062,<16f,30
1753943717.4768245,7663.912109375,7489.1240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.70000076293945,2.700000047683716,2898.0,30.0,nan,nan,45.36000061035156,972.2134399414062,<16f,30
1753943717.527573,7663.994140625,7489.1240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.70000076293945,2.700000047683716,2898.0,30.0,nan,nan,45.36000061035156,972.2134399414062,<16f,30
1753943717.578475,7664.03515625,7489.1240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.70000076293945,2.700000047683716,2898.0,30.0,nan,nan,45.36000061035156,972.2134399414062,<16f,30
1753943717.629464,7664.08203125,7489.1240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.79999923706055,2.9000000953674316,2906.0,30.0,nan,nan,45.36000061035156,972.2134399414062,<16f,30
1753943717.6799827,7664.123046875,7489.1240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.79999923706055,2.9000000953674316,2906.0,30.0,nan,nan,45.36000061035156,972.2134399414062,<16f,30
1753943717.730726,7664.205078125,7489.1240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.79999923706055,2.9000000953674316,2906.0,30.0,nan,nan,45.36000061035156,972.2134399414062,<16f,30
1753943717.781664,7664.24609375,7489.1240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.79999923706055,2.9000000953674316,2906.0,30.0,nan,nan,45.36000061035156,972.2134399414062,<16f,30
1753943717.832565,7664.287109375,7489.1240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.79999923706055,2.9000000953674316,2906.0,30.0,nan,nan,45.36000061035156,972.2134399414062,<16f,30
1753943717.8832397,7664.328125,7489.1240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.79999923706055,2.9000000953674316,2906.0,30.0,nan,nan,45.36000061035156,972.2134399414062,<16f,30
1753943717.9339836,7664.3779296875,7489.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.79999923706055,2.9000000953674316,2906.0,30.0,nan,nan,45.36000061035156,972.2326049804688,<16f,30
1753943717.9847264,7664.4248046875,7489.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.79999923706055,2.799999952316284,2916.0,30.0,nan,nan,45.36000061035156,972.2326049804688,<16f,20
1753943718.0355422,7664.5087890625,7489.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.79999923706055,2.799999952316284,2916.0,30.0,nan,nan,45.36000061035156,972.2326049804688,<16f,20
1753943718.0868714,7664.5498046875,7489.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.79999923706055,2.799999952316284,2916.0,30.0,nan,nan,45.36000061035156,972.2326049804688,<16f,20
1753943718.1373086,7664.59716796875,7489.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,2.9000000953674316,1949.0,30.0,nan,nan,45.36000061035156,972.2326049804688,<16f,20
1753943718.1880112,7664.63818359375,7489.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,2.9000000953674316,1949.0,30.0,nan,nan,45.36000061035156,972.2326049804688,<16f,20
1753943718.2385354,7664.72021484375,7489.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,2.9000000953674316,1949.0,30.0,nan,nan,45.36000061035156,972.2326049804688,<16f,20
1753943718.289291,7664.76123046875,7489.6240234375,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,2.9000000953674316,1949.0,30.0,nan,nan,45.36000061035156,972.2326049804688,<16f,20
